,State,Year,POVALL_2021,PCTPOVALL_2021,POV017_2021,PCTPOV017_2021,POV517_2021,PCTPOV517_2021,MEDHHINC_2021,POV04_2021,PCTPOV04_2021,OverallFoodInsecurityRate,SeniorFoodInsecurityRate(StateofSeniorHunger),#ofFoodInsecureSeniors(StateofSeniorHunger),OlderAdultFoodInsecurityRate(StateofSeniorHunger),#ofFoodInsecureOlderAdults(StateofSeniorHunger),ChildFoodInsecurityRate,#ofFoodInsecureChildren
38,PA,2021,1503929.0,12.0,429209.0,16.3,303178.0,15.5,68931.0,116290.0,17.5,0.094,0.047,158297,0.064,101570,0.122,325170
39,RI,2021,126971.0,12.1,34400.0,17.0,24199.0,16.0,73324.0,9556.0,18.6,0.093,0.052000000000000005,13713,0.086,12267,0.129,26860
40,SC,2021,736098.0,14.5,216791.0,19.7,154506.0,18.8,59447.0,59011.0,21.5,0.099,0.10400000000000001,142043,0.12,79323,0.126,141110
41,SD,2021,103337.0,11.9,30921.0,14.4,20663.0,13.1,66843.0,9423.0,16.5,0.081,0.034,6703,0.106,11995,0.112,24750
42,TN,2021,934856.0,13.7,277454.0,18.4,196884.0,17.7,59698.0,75501.0,19.3,0.115,0.069,109485,0.111,100995,0.128,197490
43,TX,2021,4122799.0,14.2,1438533.0,19.5,1023611.0,18.6,66959.0,393888.0,21.2,0.137,0.085,454896,0.14,491124,0.181,1348600
44,UT,2021,286086.0,8.700000000000001,79258.0,8.5,52922.0,7.600000000000001,79449.0,22873.0,9.8,0.095,0.054000000000000006,27304,0.07400000000000001,23598,0.098,93050
45,VT,2021,63208.0,10.2,12908.0,11.2,9163.0,10.5,72415.0,3196.0,11.6,0.089,0.043,8025,0.127,9877,0.103,12040
46,VA,2021,862792.0,10.3,247264.0,13.3,172697.0,12.6,80926.0,69303.0,14.4,0.081,0.052000000000000005,105295,0.071,73127,0.088,164680
47,WA,2021,755589.0,9.9,197271.0,12.0,136772.0,11.2,84155.0,53637.0,12.7,0.089,0.037000000000000005,65137,0.069,59549,0.118,197550
48,WV,2021,291051.0,16.8,74847.0,21.4,52556.0,20.0,51122.0,21090.0,24.7,0.117,0.102,53687,0.141,28594,0.14,50680
49,WI,2021,622948.0,10.8,169816.0,13.6,120713.0,12.9,67150.0,44523.0,14.3,0.072,0.06,83458,0.066,54374,0.111,142050
50,WY,2021,60226.0,10.6,15661.0,12.1,10517.0,10.7,66508.0,4455.0,14.2,0.106,0.073,10890,0.076,4923,0.122,16100
51,AL,2020,,,,,,,,,,0.145,0.09,104269,0.142,97677,0.198,216040
52,AK,2020,,,,,,,,,,0.108,0.059000000000000004,7863,0.11699999999999999,10052,0.147,26910
53,AZ,2020,,,,,,,,,,0.111,0.069,118018,0.1,85230,0.164,269610
54,AR,2020,,,,,,,,,,0.147,0.063,45417,0.16899999999999998,61190,0.197,138410
